user_id,content_id,reaction,timestamp
11,460,좋아요,1744824302
35,117,좋아요,1749473856
89,290,좋아요,1728135021
70,22,좋아요,1752338647
12,157,좋아요,1734228815
93,381,좋아요,1749167362
84,350,좋아요,1734540593
54,30,좋아요,1745893135
45,104,싫어요,1749631283
84,29,좋아요,1733808110
52,213,좋아요,1733891955
27,120,좋아요,1722781995
97,479,싫어요,1727023255
18,293,좋아요,1739976290
7,453,싫어요,1751041071
61,298,좋아요,1723857144
8,339,좋아요,1723519036
24,463,좋아요,1742084848
43,70,싫어요,1729788295
60,224,좋아요,1724719948
5,510,싫어요,1744170836
26,44,좋아요,1731851352
17,278,싫어요,1737073482
11,421,좋아요,1742512513
19,169,싫어요,1737974057
66,463,좋아요,1735830986
61,356,좋아요,1728369348
79,217,좋아요,1727183727
80,208,좋아요,1735318782
62,310,좋아요,1726967151
72,155,좋아요,1751802965
85,103,싫어요,1734097588
68,243,좋아요,1737447307
28,109,좋아요,1726213980
20,461,좋아요,1742238653
61,143,좋아요,1727400747
83,509,좋아요,1736862395
24,468,좋아요,1728053709
86,144,싫어요,1728743261
36,75,좋아요,1740847059
51,216,싫어요,1730271035
22,77,싫어요,1735666521
93,127,좋아요,1742674587
33,126,좋아요,1733711199
33,354,좋아요,1730308284
85,222,좋아요,1735941931
50,509,싫어요,1747425372
39,305,싫어요,1725168592
77,222,좋아요,1727260802
1,409,싫어요,1728445676
3,458,좋아요,1729097461
27,257,싫어요,1750112061
67,407,좋아요,1736048276
70,235,좋아요,1738433877
72,74,좋아요,1743007875
34,431,좋아요,1751329162
45,483,좋아요,1742592919
4,312,좋아요,1721642503
56,175,좋아요,1743179255
63,170,좋아요,1722855420
40,502,좋아요,1732524338
5,425,싫어요,1734815471
38,152,좋아요,1723199146
77,385,좋아요,1743411890
8,228,좋아요,1741522731
58,89,좋아요,1751520535
2,506,싫어요,1744670423
25,483,싫어요,1739837495
73,144,좋아요,1748131476
80,400,좋아요,1752607508
51,83,싫어요,1734690950
96,296,좋아요,1735397728
42,134,좋아요,1740500613
90,219,좋아요,1739433995
56,204,좋아요,1744366914
53,140,좋아요,1725475568
93,82,싫어요,1722827468
59,454,싫어요,1731682721
26,436,좋아요,1734580936
62,470,좋아요,1740971371
97,288,좋아요,1735143458
78,404,좋아요,1730475164
98,163,좋아요,1722007364
30,434,좋아요,1738696641
61,227,좋아요,1739434502
52,66,좋아요,1743973349
34,489,좋아요,1740195987
6,205,싫어요,1738780108
21,101,좋아요,1743467515
34,160,좋아요,1726215407
93,67,좋아요,1742952074
46,427,좋아요,1742414320
13,356,싫어요,1745787166
50,112,싫어요,1747738154
78,17,좋아요,1741947091
3,191,좋아요,1728887468
2,468,싫어요,1728781280
21,395,좋아요,1740466209
5,482,좋아요,1739630854
31,323,싫어요,1752063230
11,333,좋아요,1736432148
75,130,좋아요,1745502757
58,155,좋아요,1745646350
2,87,좋아요,1745804236
67,51,좋아요,1735823658
42,36,좋아요,1733669250
